name,county_num,economic_region,wia_region,io_region
Appling,1,9,16,13
Atkinson,3,11,18,11
Bacon,5,11,18,13
Baker,7,10,17,10
Baldwin,9,6,11,6
Banks,11,2,2,2
Barrow,13,5,9,5
Bartow,15,1,1,1
Ben Hill,17,11,18,11
Berrien,19,11,18,11
Bibb,21,6,11,6
Bleckley,23,9,16,9
Brantley,25,11,18,14
Brooks,27,11,18,11
Bryan,29,12,20,12
Bulloch,31,12,20,12
Burke,33,7,12,7
Butts,35,4,8,4
Calhoun,37,10,17,10
Camden,39,12,20,14
Candler,43,9,16,9
Carroll,45,4,8,4
Catoosa,47,1,1,1
Charlton,49,11,18,14
Chatham,51,12,20,12
Chattahoochee,53,8,14,8
Chattooga,55,1,1,1
Cherokee,57,3,7,3
Clarke,59,5,9,5
Clay,61,8,14,8
Clayton,63,3,7,3
Clinch,65,11,18,11
Cobb,67,3,4,3
Coffee,69,11,18,11
Colquitt,71,10,17,10
Columbia,73,7,13,7
Cook,75,11,18,11
Coweta,77,4,8,4
Crawford,79,6,11,6
Crisp,81,8,15,8
Dade,83,1,1,1
Dawson,85,2,2,2
Decatur,87,10,17,10
DeKalb,89,3,5,3
Dodge,91,9,16,9
Dooly,93,8,15,8
Dougherty,95,10,17,10
Douglas,97,3,7,3
Early,99,10,17,10
Echols,101,11,18,11
Effingham,103,12,20,12
Elbert,105,5,9,5
Emanuel,107,9,16,9
Evans,109,9,16,9
Fannin,111,1,1,1
Fayette,113,3,7,3
Floyd,115,1,1,1
Forsyth,117,2,2,2
Franklin,119,2,2,2
Fulton,121,3,6,3
Gilmer,123,1,1,1
Glascock,125,7,13,7
Glynn,127,12,20,13
Gordon,129,1,1,1
Grady,131,10,17,10
Greene,133,5,9,5
Gwinnett,135,3,7,3
Habersham,137,2,2,2
Hall,139,2,2,2
Hancock,141,7,13,7
Haralson,143,1,1,1
Harris,145,8,14,8
Hart,147,2,2,2
Heard,149,4,8,4
Henry,151,3,7,3
Houston,153,6,11,6
Irwin,155,11,18,11
Jackson,157,5,9,5
Jasper,159,5,9,5
Jeff Davis,161,9,16,13
Jefferson,163,7,13,7
Jenkins,165,7,12,7
Johnson,167,9,16,9
Jones,169,6,11,6
Lamar,171,4,8,4
Lanier,173,11,18,11
Laurens,175,9,16,9
Lee,177,10,17,10
Liberty,179,12,20,12
Lincoln,181,7,13,7
Long,183,12,20,12
Lowndes,185,11,18,11
Lumpkin,187,2,2,2
Macon,193,8,15,8
Madison,195,5,9,5
Marion,197,8,15,8
McDuffie,189,7,13,7
McIntosh,191,12,20,12
Meriwether,199,4,8,4
Miller,201,10,17,10
Mitchell,205,10,17,10
Monroe,207,6,11,6
Montgomery,209,9,16,9
Morgan,211,5,9,5
Murray,213,1,1,1
Muscogee,215,8,14,8
Newton,217,5,9,5
Oconee,219,5,9,5
Oglethorpe,221,5,9,5
Paulding,223,1,1,1
Peach,225,6,11,6
Pickens,227,1,1,1
Pierce,229,11,18,13
Pike,231,4,8,4
Polk,233,1,1,1
Pulaski,235,6,11,6
Putnam,237,6,11,6
Quitman,239,8,14,8
Rabun,241,2,2,2
Randolph,243,8,14,8
Richmond,245,7,12,7
Rockdale,247,3,7,3
Schley,249,8,15,8
Screven,251,12,20,12
Seminole,253,10,17,10
Spalding,255,4,8,4
Stephens,257,2,2,2
Stewart,259,8,14,8
Sumter,261,8,15,8
Talbot,263,8,14,8
Taliaferro,265,7,13,7
Tattnall,267,9,16,9
Taylor,269,8,15,8
Telfair,271,9,16,9
Terrell,273,10,17,10
Thomas,275,10,17,10
Tift,277,11,18,11
Toombs,279,9,16,9
Towns,281,2,2,2
Treutlen,283,9,16,9
Troup,285,4,8,4
Turner,287,11,18,11
Twiggs,289,6,11,6
Union,291,2,2,2
Upson,293,4,8,4
Walker,295,1,1,1
Walton,297,5,9,5
Ware,299,11,18,11
Warren,301,7,13,7
Washington,303,7,13,7
Wayne,305,9,16,13
Webster,307,8,15,8
Wheeler,309,9,16,9
White,311,2,2,2
Whitfield,313,1,1,1
Wilcox,315,9,16,9
Wilkes,317,7,13,7
Wilkinson,319,6,11,6
Worth,321,10,17,10
